id	origine	cible	source	valeur	datePublication	dateConsultation
56	0	7	challenges.fr	participe	22/08/2014	14/05/2016
57	0	322	lefigaro.fr	60	15/12/2017	08/12/2018
1	0	2		53		
0	0	1		50		
4	1	4	strategies.fr	100	14/11/2014	28/06/2016
3	1	3	lemonde.fr	100	23/06/2016	22/10/2016
6	2	6	strategies.fr	100	14/11/2014	28/06/2016
5	2	5	strategies.fr	100	14/11/2014	28/06/2016
7	8	13		20		
9	9	322		participe		
8	9	13	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	40	08/09/2017	
29	10	11		78		
35	11	31	lemonde.fr	<50	11/03/2016	10/07/2016
32	11	25	lexpress.fr	11	24/02/2015	10/07/2016
33	11	29	lesechos.fr	100	22/05/2015	14/05/2016
34	11	30	lesechos.fr	100	22/05/2015	14/05/2016
10	11	12	lemonde.fr	51	17/10/2018	08/12/2018
12	12	13	lemonde.fr	40	17/10/2018	08/12/2018
14	13	15	lefigaro.fr	99	23/11/2016	23/11/2016
13	13	14	lemonde.fr	75	17/10/2018	08/12/2018
24	14	25	lexpress.fr	34	24/02/2015	10/07/2016
23	14	24	sdllemonde.fr, lemonde.fr	51	06/10/2017	14/05/2016 , 16/10/2017
22	14	23	sdllemonde.fr, lemonde.fr	51	06/10/2017	14/05/2016 , 16/10/2017
21	14	22	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
20	14	21	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
19	14	20	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
18	14	19	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
17	14	18	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
16	14	17	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
15	14	16	sdllemonde.fr, lemonde.fr	100	06/10/2017	14/05/2016 , 16/10/2017
30	26	27		100		
31	27	25	lexpress.fr	51	24/02/2015	10/07/2016
27	32	24		24,5		
25	32	23		24,5		
28	33	24		24,5		
26	33	23		24,5		
36	34	35		100		
37	35	36		100		
39	36	38	dassault.fr, offremedia.com	100	03/10/2017	14/05/2016 , 16/10/2017
41	36	40	dassault.fr, offremedia.com	100	03/10/2017	14/05/2016 , 16/10/2017
38	36	37	dassault.fr, offremedia.com	100	03/10/2017	14/05/2016 , 16/10/2017
40	36	39	dassault.fr, offremedia.com	100	03/10/2017	14/05/2016 , 16/10/2017
42	41	42		46,6		
53	42	7	challenges.fr	participe	22/08/2014	14/05/2016
46	42	46	lvmh.fr	100	31/12/2015	28/06/2016
45	42	45	lvmh.fr	100	31/12/2015	28/06/2016
47	42	47	lvmh.fr	100	31/12/2015	28/06/2016
44	42	44	lvmh.fr	100	31/12/2015	28/06/2016
43	42	43	lvmh.fr	100	31/12/2015	28/06/2016
50	47	50	lvmh.fr	100	31/12/2015	28/06/2016
51	47	51	lvmh.fr	100	31/12/2015	28/06/2016
48	47	48	lvmh.fr	100	31/12/2015	28/06/2016
52	47	52	lvmh.fr	100	31/12/2015	28/06/2016
49	47	49	lvmh.fr	100	31/12/2015	28/06/2016
54	53	7	challenges.fr	participe	22/08/2014	14/05/2016
55	54	7	challenges.fr	participe	22/08/2014	14/05/2016
58	55	56		61		
59	56	57		78		
303	56	320	societe.com	100	13/07/2018	08/12/2018
62	57	60	freenews.fr	100	23/04/2018	22/07/2018
61	57	59	linformaticien.com	100	25/11/2015	28/06/2016
60	57	58	linformaticien.com	100	25/11/2015	28/06/2016
67	60	65	lepoint.fr	100	27/07/2017	22/07/2018
66	60	64	investir.lesechos.fr	100	02/02/2016	14/05/2016
64	60	62	investir.lesechos.fr	100	02/02/2016	14/05/2016
63	60	61	investir.lesechos.fr	100	02/02/2016	14/05/2016
65	60	63	investir.lesechos.fr	100	02/02/2016	14/05/2016
68	66	68		7,96		
69	67	68		12,83		
70	68	69		100		
76	69	75	lagardere.com	100	31/12/2015	14/05/2016
72	69	71	lagardere.com	100	31/12/2015	14/05/2016
73	69	72	lagardere.com	100	31/12/2015	14/05/2016
74	69	73	lagardere.com	100	31/12/2015	14/05/2016
71	69	70	lagardere.com	100	31/12/2015	14/05/2016
75	69	74	lagardere.com	100	31/12/2015	14/05/2016
77	76	77		49,77		
78	77	78		64,4		
79	78	79	bollore.com, vivendi.com, ozap.com	100	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
80	78	80	bollore.com, vivendi.com, ozap.com	20,65	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
83	80	83	bollore.com, vivendi.com, ozap.com	100	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
82	80	82	bollore.com, vivendi.com, ozap.com	100	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
84	80	84	bollore.com, vivendi.com, ozap.com	100	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
81	80	81	bollore.com, vivendi.com, ozap.com	100	31/12/2015, 21/04/2017, 31/12/2015	28/06/2016 , 10/10/2016
85	85	86		100		
86	86	87		>50		
87	87	88	ozap.com	100	15/06/2017	16/10/2017
88	87	89	ozap.com	100	15/06/2017	16/10/2017
89	90	93	Correspondance de la presse	9	19/12/2016	19/12/2016
90	91	92	bfmbusiness.bfmtv.com	50	24/04/2018	22/07/2018
92	92	321	lemonde.fr	100	18/10/2018	08/12/2018
91	92	93	marianne.net	91	26/04/2018	22/07/2018
11	92	12	lemonde.fr	49	17/10/2018	08/12/2018
93	94	95		100		
95	95	98	Pressenews.fr	100	22/11/2017	23/11/2017
94	95	96		100		
96	96	99	groupeartemis.com, agefi.fr	100		28/06/2016
97	97	100	groupeartemis.com, agefi.fr	100		28/06/2016
98	101	102		contrôle		
99	102	103		100		
100	102	104		75		
101	103	105		100		
105	104	109		48		
102	105	106	investir.lesechos.fr	100	06/10/2014	14/05/2016
104	105	108	investir.lesechos.fr	100	06/10/2014	14/05/2016
103	105	107	investir.lesechos.fr	100	06/10/2014	14/05/2016
110	109	114	zonebourse.com, AFP	100	04/09/2017	14/05/2016 , 14/11/2017
108	109	112	zonebourse.com, AFP	100	04/09/2017	14/05/2016 , 14/11/2017
106	109	110	zonebourse.com, AFP	100	04/09/2017	14/05/2016 , 14/11/2017
109	109	113	zonebourse.com, AFP	100	04/09/2017	14/05/2016 , 14/11/2017
107	109	111	zonebourse.com, AFP	100	04/09/2017	14/05/2016 , 14/11/2017
113	109	115	zonebourse.com, AFP	100	04/09/2017	14/05/2016 , 14/11/2017
111	116	117	strategies.fr, AFP	100	06/06/2018	
112	117	118	strategies.fr, AFP	100	06/06/2018	
114	119	120		20		
115	120	121		44		
